nome_uo,descricao_uo
SECRETARIA DE ESTADO  DE TRANSPORTES  E OBRAS PUBLICAS,SECRETARIA DE ESTADO DE TRANSPORTES E OBRAS PUBLICAS - SETOP
SECRETARIA DE ESTADO DE ADMINISTRACAO PRISIONAL,SECRETARIA DE ESTADO DE ADMINISTRACAO PRISIONAL - SEAP
"SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO","SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO - SEAPA"
SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL,SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL - SECIR
SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL - SECIR,SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL - SECIR
"SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA E ENSINO SUPERIOR","SECRETARIA DE ESTADO DE CIENCIA, TECNOLOGIA E ENSINO SUPERIOR - SECTES"
SECRETARIA DE ESTADO DE CULTURA,SECRETARIA DE ESTADO DE CULTURA - SEC
SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO,SECRETARIA DE ESTADO DE DESENVOLVIMENTO AGRARIO - SEDA
SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS,SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS - SEDINOR
SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS - SEDINOR,SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS - SEDINOR
SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO,SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO - SEDE
"SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR","SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR - SEDECTES"
"SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA","SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA - SEDPAC"
SECRETARIA DE ESTADO DE EDUCACAO,SECRETARIA DE ESTADO DE EDUCACAO - SEE
SECRETARIA DE ESTADO DE ESPORTES,SECRETARIA DE ESTADO DE ESPORTES - SEESP
SECRETARIA DE ESTADO DE ESPORTES E DA JUVENTUDE,SECRETARIA DE ESTADO DE ESPORTES E DA JUVENTUDE - SEESP
SECRETARIA DE ESTADO DE GOVERNO,SECRETARIA DE ESTADO DE GOVERNO - SEGOV
SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL,SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL - SEMAD
