codigo_uo,nome_uo
4171,4171 - FUNDO ESTADUAL DE DESENVOLVIMENTO RURAL
4181,4181 - FUNDO ESTADUAL DE  DESENVOLVIMENTO DE COMUNIDADES
4261,4261 - FUNDO DE DESENVOLVIMENTO DE INDUSTRIAS ESTRATEGICAS
4271,4271 - FUNDO ESTADUAL DE APOIO A INDUSTRIA CINEMATOGRAFICA
4391,4391 - FUNDO ESTADUAL DE RECUPERACAO DO PATRIMONIO HISTORICO, ARTISTICO E ARQUITETONICO
4401,4401 - FUNDO ESTADUAL DE PROMOCAO DOS DIREITOS HUMANOS
4411,4411 - FUNDO ROTATIVO DE FOMENTO A AGRICULTURA FAMILIAR E DE VIABILIZACAO DE ASSENTAMENTOS AGRARIOS
4431,4431 - FUNDO DE PREVIDENCIA DO ESTADO DE MINAS GERAIS
4471,4471 - FUNDO MAQUINAS PARA O DESENVOLVIMENTO-FUNDOMAQ
4481,4481 - FUNDO DE PARCERIAS PUBLICO-PRIVADAS DO ESTADO DE MINAS GERAIS
4501,4501 - FUNDO DE EQUALIZACAO DO ESTADO DE MINAS GERAIS
4511,4511 - FUNDO DE INCENTIVO AO DESENVOLVIMENTO
4521,4521 - FUNDO DE UNIVERSALIZACAO DO ACESSO A SERVICOS DE TELECOMUNICACAO EM MINAS GERAIS
4561,4561 - FUNDO DE ERRADICACAO DA MISERIA
4571,4571 - FUNDO ESTADUAL PARA A CIDADANIA FISCAL MINEIRA
9999,9999 - ESTADO DE MINAS GERAIS - ADMINISTRAÇÃO DIRETA
